obj type,pc match method,belief history,n_points history
OrangeCover,chamfer,"[0.9093633890151978, 0.9893918633460999, 0.9987947344779968, 0.9998655915260315, 0.9999914169311523, 0.9999994039535522, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[1166, 3145, 4934, 6875, 9034, 11690, 14841, 18793, 23827, 30617, 30617, 30617]"
OrangeCover,chamfer,"[0.7781121730804443, 0.9746144413948059, 0.9977659583091736, 0.9998598098754883, 0.9999923706054688, 0.999999463558197, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[731, 2397, 3963, 5909, 8051, 10189, 13097, 16128, 18876, 18876, 18876, 18876]"
OrangeCover,chamfer,"[0.8606334328651428, 0.9877700209617615, 0.9987996220588684, 0.9999173283576965, 0.9999954700469971, 0.9999997019767761, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1031, 2907, 4696, 6582, 8854, 11578, 15028, 19415, 19415, 19415, 19415, 19415]"
OrangeCover,chamfer,"[0.9055858254432678, 0.9947797656059265, 0.9994503259658813, 0.9999405741691589, 0.9999956488609314, 0.9999997019767761, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1181, 3543, 5303, 7190, 9352, 11991, 15171, 19114, 24137, 30947, 30947, 30947]"
OrangeCover,chamfer,"[0.8878108859062195, 0.9905199408531189, 0.9993036389350891, 0.99996018409729, 0.9999973773956299, 0.9999997615814209, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[775, 2526, 4291, 6257, 8197, 10673, 13382, 17089, 19552, 21971, 21971, 21971]"
OrangeCover,chamfer,"[0.8324905633926392, 0.9820660352706909, 0.9981939196586609, 0.9998750686645508, 0.9999934434890747, 0.9999995827674866, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1092, 3071, 4877, 6803, 9109, 11908, 15391, 19880, 24024, 24024, 24024, 24024]"
OrangeCover,chamfer,"[0.9091277122497559, 0.9917126297950745, 0.999121367931366, 0.9999261498451233, 0.9999942779541016, 0.9999996423721313, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1175, 3230, 4970, 6820, 8999, 11625, 14806, 18742, 23818, 30742, 30742, 30742]"
OrangeCover,chamfer,"[0.9080885648727417, 0.9916079640388489, 0.999083399772644, 0.9999037384986877, 0.999993085861206, 0.9999995231628418, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1193, 3251, 5005, 6876, 9032, 11645, 14812, 18771, 23776, 30374, 30374, 30374]"
OrangeCover,chamfer,"[0.9053969979286194, 0.988509476184845, 0.9987934827804565, 0.9998824000358582, 0.9999904632568359, 0.9999994039535522, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[1188, 3060, 4845, 6726, 8859, 11473, 14574, 18451, 23390, 30054, 30054, 30054]"
OrangeCover,chamfer,"[0.8150516748428345, 0.9814298748970032, 0.9982408285140991, 0.999858558177948, 0.9999914169311523, 0.999999463558197, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[1103, 3041, 4830, 6780, 9075, 11956, 15505, 20066, 24381, 24381, 24381, 24381]"
OrangeCover,chamfer,"[0.9147276878356934, 0.9914829730987549, 0.9992272853851318, 0.9999209046363831, 0.9999948740005493, 0.9999997019767761, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1181, 3132, 4916, 6758, 8959, 11610, 14813, 18850, 23949, 30913, 30913, 30913]"
OrangeCover,chamfer,"[0.9140202403068542, 0.9942653179168701, 0.9995072484016418, 0.9999539256095886, 0.9999968409538269, 0.9999997615814209, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1196, 3261, 5062, 6931, 9129, 11768, 14949, 18888, 23908, 30614, 30614, 30614]"
OrangeCover,chamfer,"[0.9087559580802917, 0.9918644428253174, 0.9991461634635925, 0.9999157190322876, 0.9999932050704956, 0.9999995827674866, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[1210, 3358, 5112, 7025, 9193, 11814, 14971, 18905, 23908, 30699, 30699, 30699]"
